place,reviews
Lal Tibba,The drive to Lal Tibba is quite uncomfortable.At the point there is nothing special except a cafe from there are few scenic points. Its quite cold at lal tibba so make sure to pack yourself good.
Lal Tibba,"Truth be told, I was too lazy for a 10km round trip hike and got someone from my hotel to drive me up and back. It’s certainly very scenic up there at the highest point of Mussoorie and worth visiting if you’re in this hill station."
Lal Tibba,Brilliant uphill trek and breathtaking view. Must do road trek in Mussoorie. The trek is insanely beautiful.
Kempty Falls,"Kempty fall's has a sweet charm in itself. A short ride from Walnut Grove, it's got a cable car ride which is fun, specially for little kids. A little dirty down, but cleaning up in progress. Would suggest a visit, and please do not litter. Let's keep our tourist attractions…"
Kempty Falls,Over the years tourists have made this pristine place the worst in Mussoorie. extremely un hygienic you have hundreds of people bathing in the small area and busy clicking selfies. The place is crwded with shops selling cheap stuff and cheap food. It;s quite a nightmarish…
Kempty Falls,"this is a most popular place to visit if you are in Mussoorie, but it is worth visiting only in summers when fall on its full swing, else it is just abnormal photoshop as others."
Kempty Falls,"The place looks fun, but is overcrowded with tourists. The water is clean generally but sometimes when it rains on upper ridges it might be muddy."
Kempty Falls,The place is quiet a tourist spot which is usually very crowded...the water is extreme cold and clear. Totally a fun filled place to visit!
Kempty Falls,If you have 5-6 hours then go for waterfall but I should recommend that old people must avoid this place.
Kempty Falls,"Was an average place, must have been nice decades back. But now seems cluttered and congested with too many constructions around. However the drive to place from mussoorie is a pleasant one but only after u turn from LBSNAA"
Kempty Falls,"The breathtaking views in road, falls are very good, very clean white water fall in small area. Lots of shops available. Only one thing when ropeway is closed its very different to ups & down. Other wise it's owsam"
Kempty Falls,"A very clean waterfall with milky white water. The waterfall has a small area where you can swim, play with water. there are many shops enroute the water fall wherein you can buy souvenirs, toys, clothes, lather products etc. Many small eateries too. It also has a rope way from…"
Kempty Falls,Breath taking view.... One of the best waterfalls which I have seen. Lots of shops and food restaurants outside the falls. Do visit a local souvenir shop run by state tourism board few kms away.... U can have a bath under falls.
Kempty Falls,"Oh my gosh! What a height of the fall! Mind blowing. You will definitely love to touch the chilled water. So breeze and soothing. Also, you enjoy trolly ride here which is now closed in mussoorie.So it will be a awesome experience for your children also."
Kempty Falls,Beautiful fall but too crowded. Many cars made it tough to reach there.. Long jam... Not good for summer. Otherwise is good.
Kempty Falls,"The view is worth walking almost a kilometre down. If you wish to take a plunge in the water, plan it around May-June."
Kempty Falls,This is a small falls with lot of litter. Needs to be preserved better. Public toilets are a problem here.
Kempty Falls,"It was okay. A Bit crowded though. At places there was a lot of litter too. The government and people, if they want, can develop it a lot better"
Kempty Falls,The fall is nice but overhyped. It is really shameful that There is so much trash thrown at the base of the falls.
Kempty Falls,"I visited this place in Feb-2020, may be this is reason that i didnt like this place as there was no such huge falls .. i have visited waterfall in other places and it was nothing compared to those waterfalls ... Also to reach the falls , we had to walk for some 10-15 mins…"
Kempty Falls,It is quite small and not at all maintained. The best part about it was the drive there. If you are there you might want to rent a 2-wheeler and enjoy the ride.
Kempty Falls,"I visited Memory Falls years ago when it was a beautiful natural setting,it has now been totally destroyed by human kind."
Kempty Falls,You will like it only if you like over-touristy places. This is the most famous spot of Mussoorie and hence is visited by loads of people. It also have ropeway to transfer people to the base of the falls and hence ideal for seniors having difficulty to trek till the falls. Also…
Kempty Falls,The waterfall is really nice with good flow of water. You must climb up to see the waterfall from top. There are beautiful places to click yourself and your family. You get maggie and hot tea to enjoy near the fall. The negative part is commercial shops and stalls have…
Kempty Falls,"This place is situated around 17 km from Mussourie, mall road. One can either drive to the place, hire a car or bus as per individual needs. In order to get to the waterfall you need to walk few hundred metres from the parking lot to the place where you can take the cable car.…"
Kempty Falls,Hopeless place Am feeling bad even to give the one dot rating here It’s a dirty place with garbage all over and unnecessary hutments all around the fall Had been here in the past and had felt that this was the best waterfall in India atleast but this visit wiped off all the…
Kempty Falls,"Didn't go down hill, it was quite a top view. Ice heard that there's a nice view from the down hill. However, we were short of time."
Kempty Falls,Its a perineal waterfall and water is there throughout the year. But after travelling for an hour back i would suggest to give it a miss
Company Garden,It is a small but well maintained garden. What spoils the place are the unruly tourists who litter the place and keep taking selfies much to the annoyance of the others. There is a small man made lake with boating facility but the water is too dirty. The few food stalls here are…
Company Garden,We visited the Company Garden. It was probably not the best time of year to visit since not many of the plants were in flower. There are areas for amusement [such as a House of Horrors and a Wax Museum] but these did not appeal to us.
Company Garden,"this is a must visit place if you are with kids, minimum 3 hrs required to visit the place and it is actually worth, be prepared how you will reach there, you can take your car or local Richkshaw (but very expensive) over all it is a good experience."
Company Garden,I went there just out of curiosity to see the place. The garden is well maintained and has other attractions as well besides the flowers and small pond. The parking is small in comparison to the influx of tourists. And the place also is quite small.
Company Garden,"This is big garden with nominal entry fee. It has many small portions of lawn with trees, plants and flower beds. It also has a beautiful waterfall and a lake where you can do paddle boating. Many rides for kids, games, a foot court, many small eateries, a haunted house and some…"
Company Garden,Nothing great to write about.... Its just a normal garden with few 11d and horror house and a dozen of photographers pestering u for pics.... Too far from city....
Company Garden,Well maintained garden. Has a fountain and merry go rounds for children. Tickets only Rs 25 per person. There are shops selling local warm clothes. You may also visit the Wax museum and Food court. Best time to visit in daylight hours from 10 am to 4 pm. There are strong and…
Company Garden,Completely commercialised !!! Constantly have people coming up to you asking you to take a photograph and selling other things. It was a waste of the the Rs 25 entrance charges. We left in 5 minutes.
Company Garden,"Not too worthy to go, but if you have time left in mussoorie you can visit the place with kids. Wax museum is the attraction but there will entry ticket inside the garden again. Boating inside the garden is fun with Infinity view again its chargeable. Food inside the garden is…"
Company Garden,"The company garden is truely nafures paradise, loved the fauna and flora. The boat ride in the garden in winter temperatures was thrilling... The garden js close by to main city and is very much recommended"
Company Garden,"Great location! Serene! But badly kept. I wanted to visit this place and so during my third visit to Mussoorie I managed. But to my dismay, this place is not at all what I thought it will be. The alleys marked for walking are too narrow, restaurants are just a mockery, neither…"
Company Garden,My visit to take the first-hand experience of snow cladded place.Nice place with lot of entertainment for all ages. Wax Musem is high priced.
Company Garden,"A terrible area to park vehicles, an unexciting man made garden, lots of human pests troubling visitors to take couple pictures - in all an embarrassing face of India to the outside world"
Company Garden,Its an ordinary garden with nothing special.Flowers are there but nothing for sale from Nursery.The so called lake for boating ends before starting. Keep your hopes down while visiting
Company Garden,Visited company Garden after seeing 4+ rating from 1000+ reviews but it was not worth at all and it is 4.5 Kms from mall road so ready to pay 500 rs to rickshaw if you can't travel by walk . There was nothing in company garden and you can find better gardens in any other city…
Company Garden,The location is Very good with views but place is not very well maintained even the garden hardly has flowers sitting space and is not well maintained compared to the location . Also the restaurant is excellent with veg food but should have non veg also . Overal nice family…
Company Garden,This place is being ruinned brick by brick as now its being managed by the Govt and its being encroached and badly maintained. what ever is left is worth seeing. Overall the place in being destroyed by local authorities's inefficiency.
Company Garden,"The place is ok, normal gardens, not too much to say. Over hyped, may skip. Car entry is restricted and entry tickets are charged here."
Company Garden,The company garden at Mussorie is a good place maintained well and has many attractions for children and offers opportunities for adults as well for photos at artificial small water fall.
Company Garden,"Garden well looked after... nice place, nothing great Over sold and marketed place again Have children do visit"
Company Garden,Lush green place with glass house. Basically a well maintained garden with eating joints.equipped with lot many activities for children from a pond boat ride to horror house and wax museum and other activities . A beautiful waterfall add to the ambience. Didn't like the wax…
Company Garden,Very nice location . if you are traveling to Mussoorie. You not missed to to visit here. Very good collection of flowers. A small water fall which is very beautiful. Love the place.
Company Garden,The trees are in good health in the garden and it should remain that way .I believe that the authorities should leave it that way and focus on growing and making it more green . The most irritating thing is the loud music blaring from the speakers . That really makes the place…
Company Garden,One should not miss Company Garden while staying in Mussoorie India. The garden has a Long history. It is located on a piece of land by the hill slopes. It’s location for a beautiful garden with some exquisite flowers. A small water flow adds to the beauty. There is a decent…
Company Garden,"Nice fountains,waterfalls & garden, Good food court where you all types of vegetarian cuisines reasonable priced."
Cloud's End,"The road actually ends here and you cannot go any further. It is most probably part of private estate and is partly fenced. But in absence of any guard you can walk around, soaking in the atmosphere. On a windy day it gets quite chilling and it is one of those places that get…"
Cloud's End,"Of all the Mussourie views Clouds End is the most peaceful, romantic and authentic spot. Standing high above eagles flying one can look out at the valleys and mountains for miles and enjoy the forests and clouds that float below. An absolute must for nature lovers."
Cloud's End,"Far away from main Mussorie, this place is a must visit if you want to see the quieter side of Mussorie. Also a good way to spend the entire day. There a lovely meadows where you can relax and enjoy the view from. Since there is steep climb, it is best to know the route well and…"
Cloud's End,The property is in shambles and no one is uplifting it. It was once a high point but now totally in ruins. The ticket is total rip off.
Cloud's End,Worth a visit here. Quite peaceful and scenic. Jwaladevi mandir trek starts here but strangely there arent any sign boards that say so. No instructions or directions.
Cloud's End,Privately manage - ruinned resot - entry fee 200 for 5 minutes worth. Its 100 % owned by some politically influential person.
Cloud's End,"Its a personal estate where one has to pay Rs 150 as entry fee. IN that you get to peek inside a home (which they call museum), a photo gallery and a couple points to click pics. One good thing is that you get to see himalayan ranges on one side and doon valley on the other."
Cloud's End,"I visited the Cloud End and beyond by car along with my wife and two small kids . The area the Kothi of Mr Agarwal which is an English bunglow being maintained and run by his family . I went past by the bunglow , and explore the motorable for another 3 kms .The scenery is…"
Cloud's End,"Private resort ,entry fee 150 per adult. Nothing to see except the resort claims its a museum and we can peek in through glass windows into dusty rooms . Everything is locked and ill maintained. It’s a long drive and really not worth it. A dirty run down canteen serves tea at rs…"
Cloud's End,"Very beautiful place in the modest of nature...grand view,very apt name..clouds end...as if all the clouds are in a hurry to reach here,they'll give you a soft hug and recede...the place is conserved and protected well...some suggestions Canteen could be made better,more…"
Cloud's End,"We went there seeing so many positive reviews but were utterly disappointed , the location is owned by some gentleman and they charge 150 Rs per person entry fee which is not worth it. And by chance if you plant o have something in their cafeteria the prices are exorbiant 175…"
Cloud's End,"The walk up to Cloud's end is good. However, I did not find anything special going inside the estate. It is owned by Dr. Agarwal and they charge INR 200 for adults to enter. Inside you'll find old pics of Mussorrie and one museum is also present. But visitors are only allowed to…"
Cloud's End,Beautiful views await you as you reach the top by car. There is a museum and a gallery of photographs of the British period. Worth going !!
Cloud's End,"This place is at a daunting 45 minutes drive from Library chowk. First things first, even if you are a good driver, totally avoid driving up there. Its crazy. Road is very narrow with space enough only for one vehicle at a time and with the deep valley right on the other side,…"
Cloud's End,Quiet an amazing place with the view and the feel fresh air a windy place. There is the photo gallery which is a must walk through . Great place to have a walk and enjoy the pleasant feels of the mountains and pleasant feels Must visit place ❤️
Cloud's End,place is just awesome. hightest point of mussorie. awesome view. even the museum is nice. nice place to click some photos. even the person guarding the property was also very helpfull in guiding us throught the property. although we miss the sunrise we reach there at around…
Cloud's End,"OK Average experience. Good view point with cool mountain air breeze , nice location , good trek with family"
Cloud's End,Far from Delhi and yet close enough to reach in about half a day. The oak trees whisper secrets to you as you walk along the many trails . You will not want to come away.
Cloud's End,Cloud's end seen has good for evening time because lots of people are coming seen sunset and dehradoon light seen at night so it's a good place. Definitely next time am coming with my family and friends..
Cloud's End,This is one of the best places from where you can get such an amazing view of cloud and mountains around the Mussoorie.
Cloud's End,We traveled there last weekend and found the place missed the wow factor. The drive was good with some steep patches. The road is narrow and needs skill if you have to pass another car. The view is great but similar vies are there from almost everywhere in Mussoorie. There is…
Cloud's End,"nice nature! Quite place, monkeys and birds! You can reach this nature reserve walking, car, motobike, bike..."
Cloud's End,"Try Seegreen Cafe for good coffee, hot chocolate and sandwiches. Perfect to sit in the sun and read a book"
Cloud's End,very cool nice place. must spend some time during your morning or evening walk. substantially clean and very green all around.
Cloud's End,The place is very natural and has some good natured view of beautiful landscape. Definitely a place to visit
George Everest's House,The government has finally woken up to the historical value of the house and is getting it restored. Hopefully it will be restored well. As of today it is just a nice pit stop on way to Cloud's end for the magnificent views of the valley this place affords. The house itself has…
George Everest's House,"It's a minimal trek, but is currently being renovated so also need to walk around 3km in a muddy terrain, many eateries are available on the way. You can enjoy the trek as the cold himalayan wind brushes your ears"
George Everest's House,"From the site of the house, the views -- in all directions -- are clear and stunning. A short steep hike up a nearby pinnacle would offer even more, but I did not attempt it in the rain. At the time of my visit in Feb 2020, the entire grounds and the driveway were being…"
George Everest's House,"One of the hidden gems of Uttarakhand is the George Everest Peak or Park Estate built in 1832 and named after Sir George Everest , the surveyor from East India Company. This is located near Mussorie. To be frank enough, when u go towards the place, the roads are completely…"
George Everest's House,Its a basic trek and can de done own your own. We recently visited and the place is under renovation so you have to walk around 2km to reach the place. There are many food joints also.
George Everest's House,"When I was experiencing the nature I relaced a lot . We start from the road ang downwards , this Dow way has well bricked roads. After reaching a little down , take U-turn , there are some small ships over her, and take the path which go upwards, this path is not well…"
George Everest's House,"Under renovation which we didn't know. Horrible & pathetic roads. If you want to go trekking to top of this hill, then it's worth. Otherwise totally waste of time."
George Everest's House,"I visited this site some 4 or more years ago. At that time I was applied at the condition of this rather important fixture in the history of this area. We approached the area via a ‘new road’ and not sure I would have taken any vehicle of mine over it, though my Taxi driver…"
George Everest's House,"This is undoubtedly the best place to visit in Mussoorie. One must not miss it. And I felt that this place must be visited multiple times, at different times of the day,so as to enjoy the different weather view. George Everest House and George Everest Peak is about 300-400 mtr…"
George Everest's House,"George Everest point provides some very nice views. We couldn’t spend much time here because it started raining and got cloudy. There are just 1-2 shops around which serve you tea and maggi.These are a bit overpriced, because it’s difficult to get supplies up here. Also, the…"
George Everest's House,"Beautiful place , you can actually see the clouds below you and coming up, great spot ti be in while in Mussourie"
George Everest's House,MUSSOORIE ia a very beautiful place of uttrakhand which is located in Dehradun distt of uttrakhand indis i have been there many times baya dehradun
George Everest's House,Probably to reach here is a task either walking it up by 2 kms as the roads aren't meant like for driving unless you have Suv. The best time to visit the place would be Early morning so that you get the view of The Himalayan ranges . Which is worth everything to reach this…
George Everest's House,"soothing place to visit...but by walk only as only small car can reach this place, good time is only sun rise...road is very bad !"
George Everest's House,This place has spectacular views. But the the George Everest home can be better restored. It has been completely ruined by the tourist or locals.
George Everest's House,Its ruins now as there seems to be no preservation done. Visit if interested in seeing the house. There is a view of the valley and nothing more beyond.
George Everest's House,The place was very crowded. Lots of veicles and people visiting. Plus the usual wall writings and stuff.
George Everest's House,The house is ruined. The Place has got lot of good views and one can experience peace. The path is not so good and one need to be careful while driving up to this place
George Everest's House,"The walk up is not great, I'll admit. The view from the hill on which the house is situated is spectacular, especially when the sun is setting. However, when you get there, you will have one of two reactions: 1. ""People have destroyed it with their useless and absurd graffiti.""…"
George Everest's House,"One of the best places we happen to visit in Mussoorie was George Everest House, though post monsoon the last 02 kms are treacherous with broken road. It requires a real skilled driver to negotiate it especially when returning to your base in Mussoorie. Hire a sedan with a…"
George Everest's House,"Nice scenes from the house. There is also a small hike one can do to a nearby hill-top which can take 30 - 45 minutes to climb and give really amazing views all around. There are small shops that server Paranthas, Noodles etc as refreshment. The road to this place is quite bad…"
George Everest's House,First you have walk Through a path for approx. 15-20 mins. here you will find some landscape where George Everest house was built. [ Not maintained at all by government] you can climb the mountain there slightly steep.
George Everest's House,I visited George Everest mussoorie on Sept month. It is a nice place to visit. There is an old house which was once upon a time occupied by George Everest. It is in a dilapidated condition. There is scenic bueaty but the road was horrible. It was taking also so one should not…
George Everest's House,This is a place to visit if you like serene places. The view from this place is also excellent. Worth a visit.
George Everest's House,This is an offbeat place so when in mussorie travellers you must visit this place without thinking for a second . This place is so peaceful you will listen the birds . The place offers the best view of dehradun and himalayas . The dog would accompany you to the place and wont…
SOHAM Heritage & Art Centre,"First thing first, please don't go by the name 'Heritage & Art Centre'. This place is more than just being an Art centre. You don't need to be an art fanatic to enjoy this place. SOHAM will surprise you in more ways than one. Every corner of that place is a story told well,…"
SOHAM Heritage & Art Centre,"This is one of the best museums I have ever visited, and it was a highlight not just of our trip to Musoorie, but to all of India. The couple who runs the place and produces the art are very friendly, knowledgeable and inspiring people. There are many different rooms and…"
SOHAM Heritage & Art Centre,"SOHAM Heritage & Art Centre is a cultural getaway to Himalayas which showcases the culture and tradition of Himalayas through paintings on canvasses, sculptures, frescoes, murals and scrap art. Very good place to visit."
SOHAM Heritage & Art Centre,Many thanks for you kind and efficient service. I have already and will definitely continue to recommend your services to others in the future. This place is full of knowledge and information. We thoroughly enjoyed our experience at Soham Heritage and art Centre . I highly…
SOHAM Heritage & Art Centre,Our visit to SOHAM was a pleasure as it gave us a glimpse of the rich Himalayan culture. The premises were being renovated but the owners took the effort to bring us around while explaining the exhibits.
SOHAM Heritage & Art Centre,"Hi friends ! In case you are planning to visit Mussoorie, then you ought to visit Soham Art Centre. If you are an art enthusiast and having an inclination towards seeing centuries old Himalayan culture and traditions then Soham Heritage and Art Centre is a place not to be missed."
SOHAM Heritage & Art Centre,It's a beautiful Indian experience highlighting many aspects of our heritage and culture. Really appreciate the display by Sameer and Kavita which takes us back to a more authentic and warm lifestyle.Returned with unforgettable memories.
SOHAM Heritage & Art Centre,"Its an awesome experience and marvellous collection of Uttarakhand culture. Want to visit in my each and every visit of massoorie, The humble response of Sameer Sir and Kavita di was tremendous"
SOHAM Heritage & Art Centre,A sweet place where a lot of effort by the owners just shines through all the habits.The exhibits showcase the different arts and culture of area around the Himalayan region.The owners we kind and brought us around the different exhibits patiently.My favourite were the…
SOHAM Heritage & Art Centre,Nothing spectacular about this place. One thing a person misses in Mussoorie and anywhere in UK state is authentic food and stuffs availability.
SOHAM Heritage & Art Centre,I visited SOHAM Heritage Centre and was fascinated by the aspects of our rich Indian culture. It was educational and inspirational for me and my kid likewise. Loved the hospitality and the new things I learnt about our Pahari culture.
SOHAM Heritage & Art Centre,"The centre is located on a steep downslope (100 mtr) that may be slippery when raining, so go prepared. The ascent from road to the actual galleries is via steps that could be telling on the knees for some. The atmosphere is very welcoming and the tour is informative and…"
SOHAM Heritage & Art Centre,"The curators of Soham Art Museum are not only generous in sharing their artwork and restored pieces with the world, but are also helping the region by becoming a one stop place for any individual interested in learning about the Himalayan culture. They fact that they were so…"
SOHAM Heritage & Art Centre,Hats off to Mrs. Shukla for creating such a unique and powerful preservation of Himalayan culture. Not only is it a must for every traveler even remotely interested in the culture of Uttarakhand but also for people who are interested in art and beauty.
SOHAM Heritage & Art Centre,I have had the privilege of visting the curators and their Museum on different occasions over a period of 10 years. And i have never seen anything like it. The amount of time effort and love put into this place has transformed it into a becon of art and heritage of Uttrakhand in…
SOHAM Heritage & Art Centre,"It is a beautiful small place, established and maintained by a nice couple. I am happy we visited it. It gave a lot of interesting information too. They are really passionate about their work and collection. They also tutor underprivileged girls for free. They personally…"
SOHAM Heritage & Art Centre,"It was a wonderful expirience visiting the beautifully contrived museum surrounded by the lush green vegetation of the mountains. This place is one of a kind. It not only preserves the age old tools, instuments and artefacts used in the traditional Himalyan lifestyle but also…"
SOHAM Heritage & Art Centre,"This being a re-visit to this place, I had got my friends along to show them around. But there was so much for my platter too. A lot of new things have come up since I went there last.. Mr.Shukla showed me the new herbs/spices collection that has been added. The artifacts…"
SOHAM Heritage & Art Centre,Best place to learn about the culture and lifestyle of the local tribesand Himalayan culture. Fascinating paintings and antiques and much more to keep you occupied and leave you feeling amazed. Can also not forget enjoying an amazing cup of Lemon Tea in the open terrace served…
SOHAM Heritage & Art Centre,"Soham Heritage & Art Centre is tucked quietly into the forest reserve(Not sure what the name is) at hardly 10 minutes drive from library chowk and 5 minutes drive from the picture palace end of the mall road. By virtue of its location, it has what you can call ""serenity in the…"
SOHAM Heritage & Art Centre,It is a privately owned and one of its own kind museum displaying the richness of art & culture of Uttrakhand. It has covered almost all aspects of art & culture ranging from music to paintings to Ayurveda to jewelry to artifacts and many more. It has a rare section of 50-60…
SOHAM Heritage & Art Centre,"Relatively unknown and unexplored, I got to know about this place via tripadvisor itself (rated 1st among places to visit in Mussoorie). I visited the place along with my wife, both of us being keen enthusiasts of art and heritage. We undertook a long and tedious walk from our…"
SOHAM Heritage & Art Centre,"A beautiful art gallery depicting himalyan culture, amazing paintings. Mr sameer personally guides through the heritage center and we loved it. There is photo gallery and museum of musical instruments and utensils.This has been developed on personal interest and property also…"
SOHAM Heritage & Art Centre,Was in mussoorie for 3 days short trip. Went to SOHAM Heritage and Art center. Out of all the places which has been commercialised to hilt in mussoorie this is a soothing place to be when you are in the hill station of mussoorie. It is run by Mr & Mrs Shukla. It is a house…
SOHAM Heritage & Art Centre,"I am not so fond of art and culture. The paintings I saw here was superb ,depicted the culture and mythology of Uttarakhand. Even the sculptures were well carved and the collection related to Himalaya and Uttarakhand were superb. Must place to visit . Kavita,owner of place is…"
The Mall,The mall or the mall road is the hangout point for every tourist. It is full of tourists throughout the day who are to return in evening and in evening with the tourists who are staying overnight in Mussorriee. Be there with head gear and woolens as there are patches in mall…
The Mall,Like in every hill station the Mall is always crowded and with vehicles plying it is not a nice experience. There are barriers on both sides of the Mall road. A large number of restaurants and street side vendors are there for food options. There are three churches on the road.…
The Mall,Great place to visit in missouri. The best time to visit mall road is in the evening with plenty of shops and different options around walking distance.
The Mall,After spending the entire day sight-seeing this place is the ideal for tourists to hangout in the evening. From shopping woolens and souvenirs to enjoying lip-smacking food.....there is something for almost everyone. However just a tip if possible check the shops near Kempty…
The Mall,"This is the heart of Mussoorie, if you are in Mussoorie and not been to Mall road - you actually didn’t visit Mussoorie. This is the hub of all activities in town- food, shopping and amazing view of doon valley."
The Mall,"Up & down, Its an amazing place for shopping. The prices are mostly fixed. You get delicious pure vegetarian food at some of the restaurants too."
The Mall,"The stretch of road running along the South facing side of Moussoire, the Library on the West to Picture Palace on the East, constitutes The Mall. For the most part it runs somewhat parallel as it were to the Camel Back Road to the north. It is for the most part closed to Much…"
The Mall,"Mall Road is the main shopping area of Mussoorie. It has Library Chowk at one end and Picture Palace 2-3 km away on the other end. There are many shops, hotels, restaurants, coffee shop. Gun Hill is accessible by the cable car on the Mall road. You can enjoy delicious food;…"
The Mall,"Mall road is the iconic and most happening place in Mussoorie. It is almost 2-3 km from Library Chowk at one end to Picture Palace at the other end. People enjoy their time here on the Mall road roaming around doing shopping , eating stuff and just having a nice walk as well.…"
The Mall,"The Mussoorie mall is can't be compared to any other mall road in the country. It's the longest and full of fun activities, hotels, eating joints, cafes and hotels. Starting at Picture palace and ending at the Library it easy streches for about 4-5 KM's. The picturesque view…"
The Mall,It was nice experience in mall road . Can buy everything there . Great 👍 place for traveling. Clean your self then you can clean city too
The Mall,"This is the most beautiful cafe located in Mussorrie. loved the ambiance and the decor! Exhaustive menu, good food and obviously the wide range of teas make this place a good spot to hangout with your friends or family. Will definitely paln visit this place everytime I am in…"
The Mall,"Main part of the town for eating, shopping and chilling. Full of tourists at any time of the year, this place is heart of Mussoorie."
The Mall,"Beautiful place with lots of shopping, food and hangout place. You will enjoy walking on mall road A nice place to sit and have hot maggie, momos and enjoy the scenery"
The Mall,"All tourists spend the night on the Mall road - eating momos, chats and much more. The chilly night went to zero and then to sub-zero temperatures as we enjoyed every bit of it with spicy and hot foods. And loads of shopping is always possible."
The Mall,"Guess this is the bang in the Middle and the main area for Tourists, for shopping and eating. It has a variety of local eating joints as well as few known chain of restaurants. It also has the local eating joints if someone wants to try the local flavor. Its almost 2km of…"
The Mall,One of the best place to walk around and pick up lovely stuff for all your dear ones. Very friendly and warm people.
The Mall,The main part of mussourie . All.the restaurants and shopping is there. Lot of interewting placee on .mall road. Check out the churches. Donsome randon shopping. Go to the cambridge book store. Stop and listen to locals discussing their daily talk. Its a hilly version of a busy…
The Mall,"Took a stroll through mall road,in cycle rickshaw,geared cycle and by feet.its a special feel when you are there"
The Mall,As compared to Shimla Mall Road it is very Big with many shops and restaurants. And all of them are at very good cost.[not high]. Only draw back I found people can drive cars and two wheelers on that.
The Mall,"It's one of the best places in mussoorie. Though it's just a 2.2 km long road with shops, restaurants etc yet it's the most vibrant place. You can try different types of foods here. Kulhad milk is also available. One should go after sunset when lights are lit."
The Mall,"This is one of the best mall road. This road is approx. 2km long. There are some good shopping shop, Cinema hall and Restaurant."
The Mall,the mall road in mussorie is such a bliss when it is not crowded....in the evenings it starts getting secluded and becomes all misty...lined with places to shop for souvenirs and lots of famous eating joints....walking delight
The Mall,"The place is perfect for shopping, walking, spending great time with your loved once. There are many restaurants and shopping choice stores."
The Mall,Just a few meters ascend from Mussorie bus stands takes one to equally busy Picture Palace. No vehicles are allowd till night after this point. After the vehicle barrier you can walk on a semi-circular road which further ascends and takes you to jhoola ghar or point of ropeway…
